,State/ UT Name,Total,Surfaced
0,Andhra Pradesh,112787,62878
1,Arunachal Pradesh,11217,6330
2,Assam,255389,27670
3,Bihar,175373,84794
4,Chhattisgarh,35048,29909
5,Goa,8693,4889
6,Gujarat,62875,58110
7,Haryana,6974,6603
8,Himachal Pradesh,16552,12069
9,Jammu & Kashmir,13127,8046
10,Jharkhand,21150,13221
11,Karnataka,184918,105562
12,Kerala,127985,81252
13,Madhya Pradesh,177060,153993
14,Maharashtra,267402,204345
15,Manipur,11121,4906
16,Meghalaya,2807,1105
17,Mizoram,2852,2323
18,Nagaland,23093,9877
19,Odisha,217919,205118
20,Punjab,69170,68459
21,Rajasthan,108159,65878
22,Sikkim,4780,3890
23,Tamil Nadu,165291,120272
24,Telangana,70808,37165
25,Tripura,24106,9764
26,Uttarakhand,9104,6138
27,Uttar Pradesh,80044,69489
28,West Bengal,169720,20822
29,Daman & Diu,293,111
30,Puducherry,1438,1081
31,ALL INDIA,2437255,1486069
